target_entropy,best_loss,early_stopped
11.25,0.4982997477054596,1
11.3,0.44916313886642456,1
11.35,0.4028346836566925,1
11.4,0.35425424575805664,1
11.45,0.3061773180961609,1
11.5,0.25718095898628235,1
11.55,0.20825161039829254,1
11.6,0.158608540892601,1
11.65,0.10935398936271667,1
11.7,0.06078082323074341,1
11.75,0.010033665224909782,1
