target_entropy,best_loss,early_stopped
0,0.0,1
0.05,2.10731741390191e-06,1
0.1,0.012807859107851982,1
0.15,0.1118454560637474,1
0.2,0.0017828932031989098,0
0.25,0.001286764512769878,1
0.3,0.01468992605805397,1
0.35,0.012657963670790195,0
0.4,4.318777428125031e-05,1
0.45,6.717542078149563e-09,1
0.5,0.00012326317664701492,1
0.55,0.0009058024734258652,1
0.6,0.018999192863702774,1
0.65,0.0,1
0.7,2.6350680855102837e-05,1
0.75,0.0,1
0.8,0.0,1
0.85,0.0,1
0.9,0.0015693679451942444,1
0.95,0.0003309121238999069,1
1.0,0.006071682553738356,1
1.05,0.0007483845693059266,1
1.1,0.0,1
1.15,0.009841395542025566,1
1.2,0.004598934669047594,1
1.25,0.02051139995455742,1
1.3,0.18410654366016388,1
1.35,0.0049394103698432446,1
1.4,0.004272171296179295,1
1.45,0.0,1
1.5,0.0,1
1.55,0.0,1
1.6,0.00863541942089796,1
1.65,0.012029810808598995,1
1.7,0.008580060675740242,1
1.75,0.0,1
1.8,0.0055029550567269325,1
1.85,0.005387467797845602,1
1.9,6.70878725941293e-05,1
1.95,0.004332757089287043,1
2.0,0.0039055757224559784,1
2.05,0.001575171947479248,1
2.1,0.00010162997932638973,1
2.15,0.0,1
2.2,0.00019122155208606273,1
2.25,0.0023258887231349945,1
2.3,0.0,1
2.35,0.0003181006759405136,1
2.4,0.020742371678352356,1
2.45,0.04192482680082321,1
2.5,3.1390962249133736e-05,1
2.55,0.0010830906685441732,1
2.6,0.018268683925271034,1
2.65,0.0,1
2.7,0.0045169624499976635,1
2.75,0.001761079067364335,1
2.8,0.015150502324104309,1
2.85,0.0,1
2.9,0.005065066274255514,1
2.95,0.0033592695835977793,1
3.0,0.005027894861996174,1
3.05,0.0028727129101753235,1
3.1,0.002117280848324299,1
3.15,0.003711420577019453,1
3.2,0.0020914538763463497,1
3.25,0.0018715397454798222,1
3.3,0.0,1
3.35,0.005221815314143896,1
3.4,0.0002970189379993826,1
3.45,0.0026250092778354883,1
3.5,0.00029056641506031156,1
3.55,0.006771087180823088,1
3.6,0.004978931974619627,1
3.65,1.8731964826583862,1
3.7,0.00018755554629024118,1
3.75,7.089391829140368e-08,1
3.8,0.000643598847091198,1
3.85,0.0006634248420596123,1
3.9,0.010743689723312855,1
3.95,0.0024514368269592524,1
4.0,0.007220336701720953,1
4.05,6.387056782841682e-05,1
4.1,0.000565705937333405,1
4.15,0.008526274934411049,1
4.2,0.01061779074370861,1
4.25,7.50634353607893e-05,1
4.3,0.0010027624666690826,1
4.35,0.04510434344410896,1
4.4,0.0008429987356066704,1
4.45,0.008063887245953083,1
4.5,0.003991255536675453,1
4.55,0.14152613282203674,1
4.6,0.0007301275618374348,1
4.65,0.005563127808272839,1
4.7,0.006379024125635624,1
4.75,0.007210371550172567,1
4.8,0.0,1
4.85,0.0005522132851183414,1
4.9,0.0,1
4.95,0.001554303802549839,1
5.0,0.00554082915186882,1
5.05,0.04731152206659317,1
5.1,0.00014243600890040398,1
5.15,0.0010603333357721567,1
5.2,0.0034103388898074627,1
5.25,0.0,1
5.3,0.0,1
5.35,0.015719827264547348,1
5.4,0.002857794053852558,1
5.45,0.002005870221182704,1
5.5,0.005070365499705076,1
5.55,0.0,1
5.6,0.002578331157565117,1
5.65,0.0025478778406977654,1
5.7,0.0,1
5.75,0.0,1
5.8,0.0025633233599364758,1
5.85,0.0,1
5.9,0.0,1
5.95,0.002608065726235509,1
6.0,0.0047987354919314384,1
6.05,0.0,1
6.1,0.0,1
6.15,2.2732227080268785e-05,1
6.2,0.0,1
6.25,0.0015113287372514606,1
6.3,0.0033578856382519007,1
6.35,0.0,1
6.4,0.004747355356812477,1
6.45,1.164546251296997,1
6.5,0.0,1
6.55,0.0,1
6.6,0.06063622981309891,0
6.65,0.001169857569038868,1
6.7,0.0,1
6.75,0.0,1
6.8,0.0,1
6.85,0.0,1
6.9,0.003994728438556194,1
6.95,0.0037002558819949627,1
7.0,0.0,1
7.05,0.0024897907860577106,1
7.1,0.0,1
7.15,0.0022837547585368156,1
7.2,0.005070684943348169,1
7.25,0.0002488901372998953,1
7.3,0.0021505369804799557,1
7.35,0.0024337603244930506,1
7.4,0.0005045521538704634,1
7.45,0.0017822373192757368,1
7.5,0.0,1
7.55,0.0,1
7.6,0.0,1
7.65,0.0012245315592736006,1
7.7,0.0021022821310907602,1
7.75,0.0,1
7.8,0.002313599456101656,1
7.85,0.0,1
7.9,0.0035587791353464127,1
7.95,0.0004282150184735656,1
8.0,0.0,1
8.05,0.0004347125650383532,1
8.1,0.0,1
8.15,0.0,1
8.2,0.0,1
8.25,0.0,1
8.3,0.0048675537109375,1
8.35,0.0,1
8.4,0.0,1
8.45,0.0,1
8.5,0.00026606969186104834,1
8.55,0.0,1
8.6,0.0,1
8.65,0.0,1
8.7,0.0,1
8.75,0.0,1
8.8,0.0,1
8.85,0.0,1
8.9,0.0,1
8.95,0.0,1
9.0,0.0,1
9.05,0.0,1
9.1,0.0,1
9.15,0.0,1
9.2,0.0,1
9.25,0.0,1
9.3,0.00016417383449152112,1
9.35,0.0,1
9.4,0.0,1
9.45,0.0,1
9.5,0.0,1
9.55,0.007824666798114777,1
9.6,0.0,1
9.65,0.0005716355517506599,1
9.7,0.0,1
9.75,0.0028953563887625933,1
9.8,0.0,1
9.85,0.0,1
9.9,0.0,1
9.95,0.0,1
10.0,0.0,1
10.05,0.0,1
10.1,0.0,1
10.15,0.0,1
10.2,0.0,1
10.25,0.0,1
10.3,0.0,1
10.35,0.0,1
10.4,0.0009722255636006594,1
10.45,0.0009282362298108637,1
10.5,0.0,1
10.55,0.08140803873538971,1
10.6,0.17831853032112122,1
10.65,0.06376828253269196,1
10.7,0.0,1
10.75,0.0,1
10.8,0.0,1
10.85,0.15913841128349304,1
10.9,0.03084684908390045,1
10.95,0.0003823947627097368,1
11.0,0.0,1
11.05,0.0407600924372673,1
11.1,0.0,1
11.15,0.0,1
11.2,0.04706928879022598,1
11.25,0.10150516033172607,1
11.3,0.2019338607788086,1
11.35,0.0,1
11.4,0.16886985301971436,1
11.45,0.0,1
11.5,0.06572483479976654,1
11.55,0.0,1
11.6,0.002515805885195732,1
11.65,0.004713442642241716,1
11.7,0.0028419194277375937,1
11.75,0.06422469019889832,1
