target_entropy,best_loss,early_stopped
0,1.2189550584185138e-11,1
0.05,8.571363423470757e-07,1
0.1,0.0027043449226766825,1
0.15,0.0003929229569621384,1
0.2,0.00411622878164053,1
0.25,0.0004176868824288249,1
0.3,0.0013149395817890763,1
0.35,0.0003263541148044169,1
0.4,0.012736988253891468,1
0.45,0.00051074632210657,1
0.5,0.0010990125592797995,1
0.55,0.00027196278097108006,1
0.6,0.0013537288177758455,1
0.65,0.023956414312124252,1
0.7,0.010466812178492546,1
0.75,0.039698466658592224,1
0.8,0.021118629723787308,1
0.85,0.01720123179256916,1
0.9,0.015247478149831295,1
0.95,0.015832243487238884,1
1.0,0.4998251795768738,1
1.05,0.0017805657116696239,1
1.1,0.06171812489628792,1
1.15,0.002342575928196311,1
1.2,0.031192773953080177,1
1.25,0.03226669505238533,1
1.3,0.39661842584609985,1
1.35,0.0632425993680954,1
1.4,0.03456633538007736,1
1.45,0.014486504718661308,1
1.5,0.8426182866096497,1
1.55,0.001778684905730188,1
1.6,0.38291260600090027,1
1.65,8.67894705152139e-05,1
1.7,0.0026583275757730007,1
1.75,0.004955756943672895,1
1.8,0.060186970978975296,1
1.85,1.6175426244735718,1
1.9,0.0633196085691452,1
1.95,0.01892492175102234,1
2.0,0.17152990400791168,1
2.05,0.5098133683204651,1
2.1,1.1930749416351318,1
2.15,0.03572167828679085,1
2.2,0.030647100880742073,1
2.25,0.11811817437410355,1
2.3,0.5910747051239014,1
2.35,3.845571700367145e-05,1
2.4,0.17273886501789093,1
2.45,0.3306637108325958,1
2.5,0.01977042853832245,1
2.55,0.8127362132072449,1
2.6,0.11183097213506699,1
2.65,0.005164110101759434,1
2.7,3.1754238605499268,1
2.75,0.00024534910335205495,1
2.8,0.036339327692985535,1
2.85,1.0125820636749268,1
2.9,4.006338596343994,1
2.95,0.0024922050070017576,1
3.0,0.41041383147239685,1
3.05,0.5671961307525635,1
3.1,0.3789617419242859,1
3.15,6.695383548736572,1
3.2,0.12031148374080658,1
3.25,2.70142663794104e-09,1
3.3,1.3659381866455078,1
3.35,0.007113090716302395,1
3.4,0.15998481214046478,1
3.45,5.729645252227783,1
3.5,5.640288236463675e-09,1
3.55,0.5212253332138062,1
3.6,1.5782219171524048,1
3.65,0.12252964079380035,1
3.7,0.10976997017860413,1
3.75,9.555378710501827e-09,1
3.8,0.2531817555427551,1
3.85,0.6500049829483032,1
3.9,0.4023509919643402,1
3.95,0.003531740978360176,1
4.0,0.003906458616256714,1
4.05,0.2854590117931366,1
4.1,0.7767181992530823,1
4.15,0.004734945483505726,1
4.2,0.962887704372406,1
4.25,0.015623092651367188,1
4.3,0.5910318493843079,1
4.35,0.30952611565589905,1
4.4,0.010006275959312916,1
4.45,0.1313427835702896,1
4.5,0.0009783514542505145,1
4.55,0.0003485541674308479,1
4.6,3.855631803162396e-05,1
4.65,0.2755795419216156,1
4.7,0.00015727209392935038,1
4.75,6.726622814312577e-09,1
4.8,0.00015525738126598299,1
4.85,3.909111546818167e-05,1
4.9,3.871043736580759e-05,1
4.95,0.00015403583529405296,1
5.0,7.38737071515061e-10,1
5.05,0.00015626907406840473,1
5.1,0.36005425453186035,1
5.15,3.784898581216112e-05,1
5.2,0.00015772689948789775,1
5.25,3.283275873400271e-10,1
5.3,0.00015741564857307822,1
5.35,3.8520796806551516e-05,1
5.4,3.8924339605728164e-05,1
5.45,0.00015671049186494201,1
5.5,8.74024408403784e-10,1
5.55,0.00015536433784291148,1
5.6,3.996650775661692e-05,1
5.65,3.9222402847371995e-05,1
5.7,0.00015775085194036365,1
5.75,1.5370460459962487e-10,1
5.8,0.0001552454923512414,1
5.85,3.8066384149715304e-05,1
5.9,3.999062755610794e-05,1
5.95,0.00015836232341825962,1
6.0,9.555378710501827e-09,1
6.05,0.00015479428111575544,1
6.1,3.855631803162396e-05,1
6.15,3.814880255958997e-05,1
6.2,0.00015833832731004804,1
6.25,8.91395757207647e-09,1
6.3,0.00015434373926836997,1
6.35,0.0006237179622985423,1
